s	p0	\FNRLPO	\FNRLOO	\FNRTwil	\FNRBH	\FNRBest
5	0.5	93.94	94.22	91.64	99.78	94.16
	0.7	99.65	99.65	99.59	99.8	99.63
	0.9	99.87	99.87	99.86	99.89	99.86
	0.95	99.91	99.91	99.9	99.92	99.91
10	0.5	25.69	25.91	22.01	96.83	23.22
	0.7	96.36	96.44	95.08	99.16	96.03
	0.9	99.56	99.56	99.54	99.64	99.56
	0.95	99.76	99.76	99.76	99.77	99.74
25	0.5	0.88	0.9	0.7	17.72	0.79
	0.7	22.83	23.04	20.85	61	21.93
	0.9	97.89	97.89	97.68	98.49	97.86
	0.95	99.16	99.16	99.06	99.23	99.14
50	0.5	0.96	0.92	0.64	1.58	0.72
	0.7	2.26	2.3	2.01	10.07	2.19
	0.9	82.4	82.47	80.39	88.05	82.08
	0.95	96.74	96.76	96.6	97.15	96.74

s	p0	\FNRLPO	\FNRLOO	\FNRTwil	\FNRBH	\FNRBest
5	0.005	0.9394	0.9422	0.9164	0.9978	0.9416
	0.007	0.9965	0.9965	0.9959	0.998	0.9963
	0.009	0.9987	0.9987	0.9986	0.9989	0.9986
	0.0095	0.9991	0.9991	0.999	0.9992	0.9991
10	0.005	0.2569	0.2591	0.2201	0.9683	0.2322
	0.007	0.9636	0.9644	0.9508	0.9916	0.9603
	0.009	0.9956	0.9956	0.9954	0.9964	0.9956
	0.0095	0.9976	0.9976	0.9976	0.9977	0.9974
25	0.005	0.0088	0.009	0.007	0.1772	0.0079
	0.007	0.2283	0.2304	0.2085	0.61	0.2193
	0.009	0.9789	0.9789	0.9768	0.9849	0.9786
	0.0095	0.9916	0.9916	0.9906	0.9923	0.9914
50	0.005	0.0096	0.0092	0.0064	0.0158	0.0072
	0.007	0.0226	0.023	0.0201	0.1007	0.0219
	0.009	0.824	0.8247	0.8039	0.8805	0.8208
	0.0095	0.9674	0.9676	0.966	0.9715	0.9674
