"" "" "t" "Ytmp"
"1" 1 1 0 0.358693289501319
"2" 1 1 1 3.71247292952652
"3" 1 1 2 10.1138720070550
"4" 1 1 3 19.7061215136033
"5" 1 1 4 31.1450562282905
"6" 1 1 0 1.33007597968042
"7" 1 1 1 3.82254108382601
"8" 1 1 2 11.2681275452241
"9" 1 1 3 20.3016279708425
"10" 1 1 4 30.9875809900663
"11" 1 1 0 1.87455920021665
"12" 1 1 1 3.47202536688267
"13" 1 1 2 9.39636781091987
"14" 1 1 3 19.1775467135028
"15" 1 1 4 31.5856374752205
"16" 1 2 0 1.50743854535737
"17" 1 2 1 4.46479550373732
"18" 1 2 2 9.80403643441239
"19" 1 2 3 18.4735137861385
"20" 1 2 4 30.1278484699846
"21" 1 2 0 0.512958283858564
"22" 1 2 1 2.34657787922021
"23" 1 2 2 8.6048886904264
"24" 1 2 3 18.3947871833515
"25" 1 2 4 30.6622826918498
"26" 1 2 0 1.79613051456460
"27" 1 2 1 3.10738175625259
"28" 1 2 2 10.2875149545606
"29" 1 2 3 18.7568153584084
"30" 1 2 4 31.3480438793047
"31" 2 1 0 0.423151786873134
"32" 2 1 1 3.72823526400397
"33" 2 1 2 11.1312606819201
"34" 2 1 3 22.5960466694281
"35" 2 1 4 35.3518389529092
"36" 2 1 0 2.06269559197638
"37" 2 1 1 4.38849439087525
"38" 2 1 2 12.3687589128162
"39" 2 1 3 22.4346214427987
"40" 2 1 4 34.0271443808559
"41" 2 1 0 1.57749289152892
"42" 2 1 1 5.24130895022995
"43" 2 1 2 11.7226678729718
"44" 2 1 3 21.9833112708277
"45" 2 1 4 35.2977429935816
"46" 2 2 0 0.400454704760906
"47" 2 2 1 2.95412714200663
"48" 2 2 2 11.5793815985959
"49" 2 2 3 21.1091345167274
"50" 2 2 4 33.8409516818166
"51" 2 2 0 0.264488381279179
"52" 2 2 1 4.27757148261849
"53" 2 2 2 10.3333407302326
"54" 2 2 3 20.3656295246126
"55" 2 2 4 34.2232106663936
"56" 2 2 0 -0.22454492756375
"57" 2 2 1 4.56310914884615
"58" 2 2 2 11.5831375548187
"59" 2 2 3 21.6667088538229
"60" 2 2 4 34.5081624850708
