"" "" "t" "Ytmp"
"1" 1 1 0 3
"2" 1 1 1 2
"3" 1 1 2 2
"4" 1 1 3 10
"5" 1 1 4 25
"6" 1 1 0 0
"7" 1 1 1 3
"8" 1 1 2 4
"9" 1 1 3 6
"10" 1 1 4 28
"11" 1 1 0 0
"12" 1 1 1 2
"13" 1 1 2 5
"14" 1 1 3 7
"15" 1 1 4 35
"16" 1 2 0 1
"17" 1 2 1 2
"18" 1 2 2 5
"19" 1 2 3 5
"20" 1 2 4 19
"21" 1 2 0 2
"22" 1 2 1 0
"23" 1 2 2 5
"24" 1 2 3 4
"25" 1 2 4 28
"26" 1 2 0 0
"27" 1 2 1 1
"28" 1 2 2 3
"29" 1 2 3 4
"30" 1 2 4 15
"31" 2 1 0 0
"32" 2 1 1 0
"33" 2 1 2 2
"34" 2 1 3 12
"35" 2 1 4 28
"36" 2 1 0 2
"37" 2 1 1 2
"38" 2 1 2 4
"39" 2 1 3 6
"40" 2 1 4 32
"41" 2 1 0 0
"42" 2 1 1 1
"43" 2 1 2 7
"44" 2 1 3 11
"45" 2 1 4 33
"46" 2 2 0 3
"47" 2 2 1 2
"48" 2 2 2 1
"49" 2 2 3 5
"50" 2 2 4 40
"51" 2 2 0 0
"52" 2 2 1 1
"53" 2 2 2 1
"54" 2 2 3 7
"55" 2 2 4 34
"56" 2 2 0 0
"57" 2 2 1 5
"58" 2 2 2 4
"59" 2 2 3 8
"60" 2 2 4 23
