Résultats Adonis vrais : All_NatashaBinNetList-stat1-adonis1:;;;;;
;Df;SumOfSqs;R2;F;Pr(>F)
Year;1;2.24;0.0083;1.33;0.296
Month;6;96.7;0.3589;9.57;0.001
Region;2;12.7;0.0471;3.77;0.012
Year:Month;6;4.89;0.0182;0.48;0.894
Year:Region;2;7.1;0.0264;2.11;0.081
Month:Region;12;45.57;0.1691;2.25;0.007
Year:Month:Region;12;32.86;0.1219;1.63;0.054
Residual;40;67.36;0.25;NA;NA
Total;81;269.42;1;NA;NA
;;;;;
;;;;;
All_FakeBinNetList-sameColFALSE-sameRowFALSE-sameDensityFALSE-seed1-stat1-adonis1;;;;;
;Df;SumOfSqs;R2;F;Pr(>F)
Year;1;1.5;0.0114;0.94;0.46
Month;6;25.17;0.1914;2.61;0.011
Region;2;0.69;0.0052;0.21;0.859
Year:Month;6;7.46;0.0568;0.77;0.621
Year:Region;2;2.52;0.0191;0.78;0.548
Month:Region;12;12.55;0.0954;0.65;0.832
Year:Month:Region;12;17.39;0.1322;0.9;0.585
Residual;40;64.23;0.4884;NA;NA
Total;81;131.51;1;NA;NA
;;;;;
;;;;;
All_FakeBinNetList-sameColFALSE-sameRowFALSE-sameDensityFALSE-seed1-stat1-adonis2;;;;;
;Df;SumOfSqs;R2;F;Pr(>F)
insectNb;1;10.55;0.0803;7.17;0.005
plantNb;1;7.32;0.0556;4.97;0.017
Year;1;0.77;0.0059;0.53;0.635
Month;6;8.96;0.0681;01.01;0.457
Region;2;4.39;0.0334;1.49;0.237
Year:Month;6;8.54;0.0649;0.97;0.491
Year:Region;2;2.17;0.0165;0.74;0.577
Month:Region;12;13.99;0.1064;0.79;0.689
Year:Month:Region;12;18.9;0.1437;01.07;0.427
Residual;38;55.93;0.4253;NA;NA
Total;81;131.51;1;NA;NA
;;;;;
;;;;;
All_NatashaBinNetList-stat3-adonis2;;;;;
;Df;SumOfSqs;R2;F;Pr(>F)
insectNb;1;69.9;0.2595;42.69;0.001
plantNb;1;31.17;0.1157;19.04;0.001
Year;1;2.66;0.0099;1.62;0.24
Month;6;24.8;0.092;2.52;0.017
Region;2;8.67;0.0322;2.65;0.035
Year:Month;6;4.81;0.0179;0.49;0.875
Year:Region;2;5.51;0.0204;1.68;0.198
Month:Region;12;32.41;0.1203;1.65;0.058
Year:Month:Region;12;27.26;0.1012;1.39;0.165
Residual;38;62.22;0.2309;NA;NA
Total;81;269.42;1;NA;NA
